" or "," vai "
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Reģistrējoties jums būs iespēja ātrāk noformēt pirkumu, saglabāt vairākas piegādes adreses, izsekot saviem pasūtījumiem u.c."
"CSV","CSV"
"Cancel","Atcelt"
"Cannot save a new password.","Cannot save a new password."
"Cannot save address.","Cannot save address."
"Cannot save the customer.","Cannot save the customer."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged."
"Change Account Password","Mainīt paroli"
"Change Billing Address","Labot norēķina adresi"
"Change Password","Mainīt paroli"
"Change Shipping Address","Labot piegādes adresi"
"City","Pilsēta"
"Company","Uzņēmums"
"Config","Config"
"Configure","Configure"
"Confirm New Password","Atkārtot paroli"
"Confirm Password","Atkārtot paroli"
"Confirmation Link Email","Apstiprinājuma epasts"
"Confirmed","Apstiprināts"
"Contact Information","Kontaktinformācija"
"Continue Shopping","Turpināt iepirkties"
"Country","Valsts"
"Create","Izveidot"
"Create New Account Options","Create New Account Options"
"Create New Customer Account","Create New Customer Account"
"Create Order","Create Order"
"Create an Account","Reģistrēties"
"Create customer","Create customer"
"Create customer address","Create customer address"
"Current Password","Pašreizējā parole"
"Customer","Customer"
"Customer API","Customer API"
"Customer Account Edit Form","Customer Account Edit Form"
"Customer Account Login Form","Customer Account Login Form"
"Customer Account Logout Success","Customer Account Logout Success"
"Customer Account Registration Form","Customer Account Registration Form"
"Customer Addresses","Customer Addresses"
"Customer Configuration","Customer Configuration"
"Customer Forgot Password Form","Customer Forgot Password Form"
"Customer Group","Customer Group"
"Customer Groups","Customer Groups"
"Customer Information","Customer Information"
"Customer Login","Customer Login"
"Customer My Account (All Pages)","Customer My Account (All Pages)"
"Customer My Account Address Book","Customer My Account Address Book"
"Customer My Account Address Edit Form","Customer My Account Address Edit Form"
"Customer My Account Dashboard","Customer My Account Dashboard"
"Customer Since","Customer Since"
"Customer View","Customer View"
"Customer collection expected.","Customer collection expected."
"Customer email is required","Customer email is required"
"Customer website ID must be specified when using the website scope","Customer website ID must be specified when using the website scope"
"Customer will stay on the current page if ""No"" is selected.","Customer will stay on the current page if ""No"" is selected."
"Customers","Customers"
"Customers Only","Customers Only"
"Customers Section","Customers Section"
"DD","DD"
"Date","Date"
"Date Added","Date Added"
"Date of Birth","Date of Birth"
"Day","Diena"
"Days in Wishlist","Days in Wishlist"
"Default Addresses","Default Addresses"
"Default Billing Address","Primārā norēķina adrese"
"Default Email Domain","Default Email Domain"
"Default Group","Default Group"
"Default Shipping Address","Primārā piegādes adrese"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Default Value for Disable Automatic Group Changes Based on VAT ID"
"Default Welcome Email","Default Welcome Email"
"Delete","Dzēst"
"Delete Address","Dzēst adresi"
"Delete Customer","Delete Customer"
"Delete Customer Group","Delete Customer Group"
"Delete customer","Delete customer"
"Delete customer address","Delete customer address"
"Deleted Stores","Deleted Stores"
"Details","Details"
"Disabled","Disabled"
"Edit","Labot"
"Edit Account Info","Labot profila informāciju"
"Edit Account Information","Labot profila informāciju"
"Edit Address","Labot adresi"
"Edit Address Entry","Labot adreses ierakstu"
"Edit Customer Group ""%s""","Edit Customer Group ""%s"""
"Edit Customer Groups","Edit Customer Groups"
"Edit Customer's Address","Edit Customer's Address"
"Edit Group","Edit Group"
"Edit Newsletters","Edit Newsletters"
"Email","Epasts"
"Email Address","Epasta adrese"
"Email Sender","Email Sender"
"Email:","Epasts:"
"Enable Automatic Assignment to Customer Group","Enable Automatic Assignment to Customer Group"
"Entity collection is expected.","Entity collection is expected."
"Excel XML","Excel XML"
"Failed to confirm customer account.","Failed to confirm customer account."
"Fax","Fakss"
"First Name","Vārds"
"Forgot Email Template","Forgot Email Template"
"Forgot Password","Aizmirsāt paroli?"
"Forgot Your Password","Aizmirsāt paroli?"
"Forgot Your Password?","Aizmirsāt paroli?"
"Forgot and Remind Email Sender","Forgot and Remind Email Sender"
"Form Fields Before","Form Fields Before"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Šeit jūs varat redzēt pēdējās veiktās darbības un papildināt konta informāciju."
"Gender","Gender"
"Gender is required.","Gender is required."
"General Subscription","Vēlos saņemt jaunumus epastā"
"Generate Human-Friendly Customer ID","Generate Human-Friendly Customer ID"
"Global","Global"
"Group","Group"
"Group Information","Group Information"
"Group Name","Group Name"
"Group for Invalid VAT ID","Group for Invalid VAT ID"
"Group for Valid VAT ID - Domestic","Group for Valid VAT ID - Domestic"
"Group for Valid VAT ID - Intra-Union","Group for Valid VAT ID - Intra-Union"
"Guest","Guest"
"HTML","HTML"
"Hello, %s!","Sveiki, %s!"
"ID","ID"
"IP Address","IP Address"
"If you believe this is an error, please contact us at %s","Ja šī ir kļūda, lūdzu, sazinieties ar mums %s"
"If you have an account with us, please log in.","Ja jūs esat reģistrēts klients, lūdzu, autorizējieties"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Invalid attribute option specified for attribute %s (%s), skipping the record."
"Invalid attribute set specified, skipping the record.","Invalid attribute set specified, skipping the record."
"Invalid billing address for (%s)","Invalid billing address for (%s)"
"Invalid current password","Nepareiza parole"
"Invalid customer data","Nepareiza klienta informācija"
"Invalid email address ""%s"".","Nepareiza epasta adrese ""%s""."
"Invalid email address.","Nepareiza epasta adrese."
"Invalid login or password.","Nepareizs epasts vai parole."
"Invalid password reset token.","Invalid password reset token."
"Invalid shipping address for (%s)","Invalid shipping address for (%s)"
"Invalid store specified, skipping the record.","Invalid store specified, skipping the record."
"Invalid website, skipping the record, line: %s","Invalid website, skipping the record, line: %s"
"Last Activity","Pēdējās darbības"
"Last Date Subscribed","Last Date Subscribed"
"Last Date Unsubscribed","Last Date Unsubscribed"
"Last Name","Uzvārds"
"Last URL","Last URL"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Lifetime Sales","Lifetime Sales"
"Log In","Ienākt"
"Log Out","Iziet"
"Login","Ienākt"
"Login Information","Autorizācijas dati"
"Login Options","Login Options"
"Login and password are required.","Nepieciešams ievadīt epastu un paroli."
"Login or Create an Account","Autorizējieties vai reģistrējieties!"
"MM","MM"
"Manage Addresses","Labot adreses"
"Manage Customers","Manage Customers"
"Maximum length must be less then %s symbols","Maximum length must be less then %s symbols"
"Missing email, skipping the record, line: %s","Missing email, skipping the record, line: %s"
"Missing email, skipping the record.","Missing email, skipping the record."
"Missing first name, skipping the record, line: %s","Missing first name, skipping the record, line: %s"
"Missing firstname, skipping the record.","Missing firstname, skipping the record."
"Missing last name, skipping the record, line: %s","Missing last name, skipping the record, line: %s"
"Missing lastname, skipping the record.","Missing lastname, skipping the record."
"Missing website, skipping the record, line: %s","Missing website, skipping the record, line: %s"
"Month","Mēnesis"
"My Account","Mans profils"
"My Account Wrapper","My Account Wrapper"
"My Dashboard","Pārlūks"
"My Orders","Mani pasūtījumi"
"Name","Vārds"
"Name and Address Options","Name and Address Options"
"Never","Nekad"
"New Address","Jauna adrese"
"New Address Entry","Pievienot jaunu adresi"
"New Customer","Jauns klietns"
"New Customer Address","New Customer Address"
"New Customer Group","New Customer Group"
"New Customer Groups","New Customer Groups"
"New Customers","Jauniem klientiem"
"New Group","New Group"
"New Password","Jauna parole"
"New account","New account"
"New account confirmation key","Reģistrācijas apstiprināšanas atslēga"
"New account confirmed","Reģistrācija apstiprināta"
"New password field cannot be empty.","Šis ir obligāti aizpildāms lauks"
"Newsletter","Jaunumi"
"Newsletter Finish","Newsletter Finish"
"Newsletter Information","Newsletter Information"
"Newsletter Received","Newsletter Received"
"Newsletter Start","Newsletter Start"
"Newsletter Subscription","Jaunumu saņemšana epastā"
"Newsletters","Jaunumi"
"No Items Found","No Items Found"
"No Newsletter Found","No Newsletter Found"
"No customer collections found","No customer collections found"
"No item specified.","No item specified."
"Not Sent","Not Sent"
"Not confirmed, can login","Not confirmed, can login"
"Not confirmed, cannot login","Not confirmed, cannot login"
"Number of Lines in a Street Address ","Number of Lines in a Street Address "
"Offline","Offline"
"Online","Online"
"Online Customers","Online Customers"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"Order #","Pasūtījums #"
"Order Total","Pasūtījuma summa"
"Orders","Pasūtījumi"
"PDF","PDF"
"Password","Parole"
"Password Management","Labot paroli"
"Password Options","Labot paroli"
"Password forgotten","Aizmirsta parole"
"Password:","Parole:"
"Paused","Apturēts"
"Pending","Gaida"
"Per Website","Per Website"
"Personal Information","Klienta informācija"
"Please enter a number 1 or greater in this field.","Šajā laukā, lūdzu, ierakstiet skaitli vienādu vai lielāku par 1."
"Please enter a valid date between %s and %s at %s.","Please enter a valid date between %s and %s at %s."
"Please enter a valid date equal to or greater than %s at %s.","Please enter a valid date equal to or greater than %s at %s."
"Please enter a valid date less than or equal to %s at %s.","Please enter a valid date less than or equal to %s at %s."
"Please enter the city.","Lūdzu, ievadiet pilsētu."
"Please enter the country.","Lūdzu, ievadiet valsti."
"Please enter the first name.","Lūdzu, ievadiet vārdu."
"Please enter the last name.","Lūdzu, ievadiet uzvārdu."
"Please enter the state/province.","Lūdzu, ievadiet rajonu."
"Please enter the street.","Lduzu, ievadiet ielas nosaukumu."
"Please enter the telephone number.","Lūdzu, ievadiet tālruņa numuru."
"Please enter the zip/postal code.","Lūdzu, ievadiet pasta indeksu."
"Please enter your email address below. You will receive a link to reset your password.","Lūdzu, ierakstiet savu epasta adresi. Jums tiks nosūtīta saite, lai atjaunotu paroli."
"Please enter your email below and we\'ll send you confirmation link for it.","Please enter your email below and we\'ll send you confirmation link for it."
"Please enter your email.","Lūdzu, ierakstiet savu epasta adresi."
"Please make sure your passwords match.","Lūdzu, pārliecinieties, ka paroles sakrīt."
"Please select a website which contains store view","Please select a website which contains store view"
"Please select region, state or province","Lūdzu, izvēlieties reģionu"
"Please, check your email for confirmation key.","Lūdzu, pārbaudiet epastu. Jums ir nosūtīta apstriprinājuma atslēga."
"Prefix Dropdown Options","Prefix Dropdown Options"
"Price","Cena"
"Product","Prece"
"Product ID","Preces ID"
"Product Name","Preces nosaukums"
"Product Reviews","Atsauksmes par produktu"
"Product Tags","Produkta atslēgas vārdi"
"Purchase On","Iegādāts"
"Purchased On","Iegādāts"
"Qty","Daudzums"
"Recent Orders","Pēdējie pirkumi"
"Records for %s store found.","Records for %s store found."
"Recovery Link Expiration Period (days)","Recovery Link Expiration Period (days)"
"Redirect Customer to Account Dashboard after Logging in","Redirect Customer to Account Dashboard after Logging in"
"Refunded","Atlīdzināts"
"Registered Customers","Reģistrētiem klientiem"
"Remind Email Template","Remind Email Template"
"Remind Password","Atgādināt paroli"
"Remove","Dzēst"
"Require Emails Confirmation","Require Emails Confirmation"
"Reset a Password","Reset a Password"
"Retrieve address data","Retrieve address data"
"Retrieve address info","Retrieve address info"
"Retrieve customer addresses","Retrieve customer addresses"
"Retrieve customer data","Retrieve customer data"
"Retrieve customer groups","Retrieve customer groups"
"Retrieve customer info","Retrieve customer info"
"Retrieve customers","Retrieve customers"
"Retrieve your confirmation link here","Retrieve your confirmation link here"
"Retrieve your password here","Retrieve your password here"
"SKU","Kods"
"Sales Statistics","Sales Statistics"
"Save","Saglabāt"
"Save Address","Saglabāt adresi"
"Save Customer","Save Customer"
"Save Customer Group","Save Customer Group"
"Save Password","Saglabāt paroli"
"Save and Continue Edit","Save and Continue Edit"
"Saved %d record(s)","Saved %d record(s)"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Send Auto-Generated Password","Send Auto-Generated Password"
"Send From","Send From"
"Send Welcome Email","Send Welcome Email"
"Send Welcome Email after Confirmation","Send Welcome Email after Confirmation"
"Send confirmation link","Send confirmation link"
"Sending","Sending"
"Sent","Sent"
"Session Start Time","Session Start Time"
"Set as Default Billing Address","Uzstādīt šo kā primāro norēķina adresi"
"Set as Default Shipping Address","Uzstādīt šo kā primāro piegādes adresi"
"Share Customer Accounts","Share Customer Accounts"
"Shipped to First Name","Saņēmējs: First Name"
"Shipped to Last Name","Saņēmējs: Last Name"
"Shipped to Name","Saņēmējs: Name"
"Shopping Cart","Pirkumu grozs"
"Shopping Cart - %d item(s)","Pirkumu grozs - %d prece(s)"
"Shopping Cart of %1$s - %2$d item(s)","Shopping Cart of %1$s - %2$d item(s)"
"Show Date of Birth","Show Date of Birth"
"Show Gender","Show Gender"
"Show Middle Name (initial)","Show Middle Name (initial)"
"Show Prefix","Show Prefix"
"Show Suffix","Show Suffix"
"Show Tax/VAT Number","Show Tax/VAT Number"
"Show VAT Number on Frontend","Show VAT Number on Frontend"
"Sign Up for Newsletter","Pierakstīties jaunumu saņemšanai"
"Skipping import row, required field ""%s"" is not defined.","Skipping import row, required field ""%s"" is not defined."
"Skipping import row, website ""%s"" field does not exist.","Skipping import row, website ""%s"" field does not exist."
"State/Province","Reģions"
"Status","Statuss"
"Store","Store"
"Store View","Store View"
"Street Address","Adrese"
"Street Address %s","Adrese %s"
"Subject","Subject"
"Submit","Nosūtīt"
"Subscribe to Newsletter","Pierakstīties jaunumu saņemšanai"
"Subscribed to Newsletter?","Esat pierakstījies jaunumu saņemšanai?"
"Suffix Dropdown Options","Suffix Dropdown Options"
"Tag Name","Atslēgas vārds"
"Tax Calculation Based On","Tax Calculation Based On"
"Tax Class","Tax Class"
"Tax/VAT number","Tax/VAT number"
"Telephone","Tālrunis"
"Text","Text"
"Text One Line","Text One Line"
"Thank you for registering with %s.","Paldies, ka reģistrējāties %s."
"The Date of Birth is required.","The Date of Birth is required."
"The TAX/VAT number is required.","The TAX/VAT number is required."
"The VAT ID entered (%s) is not a valid VAT ID.","The VAT ID entered (%s) is not a valid VAT ID."
"The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.","The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s."
"The VAT ID is valid. The current Customer Group will be used.","The VAT ID is valid. The current Customer Group will be used."
"The account information has been saved.","Profila informācija ir saglabāta."
"The address does not belong to this customer.","The address does not belong to this customer."
"The address has been deleted.","Adrese ir dzēsta."
"The address has been saved.","Adrese ir saglabāta."
"The customer ID and email did not match, skipping the record, line: %s","The customer ID and email did not match, skipping the record, line: %s"
"The customer does not have default billing address.","The customer does not have default billing address."
"The customer email (%s) already exists, skipping the record, line: %s","The customer email (%s) already exists, skipping the record, line: %s"
"The customer group has been deleted.","The customer group has been deleted."
"The customer group has been saved.","The customer group has been saved."
"The customer is currently assigned to Customer Group %s.","The customer is currently assigned to Customer Group %s."
"The first name cannot be empty.","Šis ir obligāti aizpildāms lauks"
"The group ""%s"" cannot be deleted","The group ""%s"" cannot be deleted"
"The last name cannot be empty.","Šis ir obligāti aizpildāms lauks"
"The minimum password length is %s","Minimālais paroles garums ir %s"
"The password cannot be empty.","Šis ir obligāti aizpildāms lauks"
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","Parolei jābūt vismaz 6 simbolus garai, neskaitot atstarpes."
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment","There are no items in customer's wishlist at the moment"
"There are no items in customer\'s shopping cart at the moment","There are no items in customer\'s shopping cart at the moment"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Ar šo epasta adresi jau ir reģistrēts profils. Ja esat drošs, ka šī ir jūsu epasta adrese, <a href=""%s"">spiediet šeit</a>, lai saņemtu paroli un pieeju savam profilam."
"There was an error validating the VAT ID.","There was an error validating the VAT ID."
"There was an error validating the VAT ID. The customer would belong to Customer Group %s.","There was an error validating the VAT ID. The customer would belong to Customer Group %s."
"This account is not confirmed.","Profils nav apstiprināts."
"This customer email already exists","This customer email already exists"
"This customer has no saved addresses.","This customer has no saved addresses."
"This email does not require confirmation.","This email does not require confirmation."
"This email will be sent instead of default welcome email, after account confirmation.","This email will be sent instead of default welcome email, after account confirmation."
"This is My Default %s Address","Šī ir mana primārā %s adrese"
"To Cart","Uz pirkumu grozu"
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","To show VAT number on frontend, set Show VAT Number on Frontend option to Yes."
"Total","Kopā"
"Type","Veids"
"Unable to save the customer.","Unable to save the customer."
"Unknown","Unknown"
"Unsubscribe from Newsletter","Atteikties no jaunumu saņemšanas"
"Update","Atjaunināt"
"Update customer address data","Update customer address data"
"Update customer data","Update customer data"
"Use as My Default %s Address","Izmantot kā manu primāro %s adresi"
"Use as My Default Billing Address","Izmantot kā manu primāro norēķina adresi"
"Use as My Default Shipping Address","Izmantot kā manu primāro piegādes adresi"
"Use as my default billing address","Izmantot kā manu primāro norēķina adresi"
"Use as my default shipping address","Izmantot kā manu primāro piegādes adresi"
"VAT Number","PVN maksātāja numurs
"VAT Request Date","VAT Request Date"
"VAT Request Identifier","VAT Request Identifier"
"Validate VAT Number","Validate VAT Number"
"Validate on Each Transaction","Validate on Each Transaction"
"Validation Error Group","Validation Error Group"
"View","Skatīt"
"View Order","Skatīt pasūtījumu"
"Visitor","Visitor"
"Visitors Only","Visitors Only"
"Website","Website"
"Welcome Email","Welcome Email"
"Wishlist","Vēlmju saraksts"
"Wishlist - %d item(s)","Vēlmju saraksts - %d prece(s)"
"Would you like to change the Customer Group for this order?","Would you like to change the Customer Group for this order?"
"Wrong confirmation key.","Wrong confirmation key."
"Wrong customer account specified.","Wrong customer account specified."
"Wrong email.","Nepareizs epasts"
"Wrong transactional account email type","Wrong transactional account email type"
"YYYY","GGGG"
"Year","Gads"
"You are currently not subscribed to any newsletter.","Jūs šobrīd neesat pieteicies jaunumu saņemšanai."
"You are currently not subscribed to our newsletter.","Jūs šobrīd neesat pieteicies jaunumu saņemšanai."
"You are currently subscribed to 'General Subscription'.","Jūs esat pieteicies jaunumu saņemšanai."
"You are currently subscribed to our newsletter.","Jūs esat pieteicies jaunumu saņemšanai."
"You are now logged out","Jūs esat izgājis no sistēmas."
"You have logged out and will be redirected to our homepage in 5 seconds.","Jūs esat izgājis no sistēmas. Sākuma lapa atvērsies pēc 5 sekundēm."
"You have no additional address entries in your address book.","Jums nav papildu ieraksti adrešu sarakstā."
"You have no additional entries in your address book.","Jums nav papildu ieraksti adrešu sarakstā."
"You have no default billing address in your address book.","Jūs neesat norādījis primāro norēķina adresi savā adrešu sarakstā."
"You have no default entries in your address book.","You have no default entries in your address book."
"You have no default shipping address in your address book.","Jūs neesat norādījis primāro piegādes adresi savā adrešu sarakstā."
"You have not set a default billing address.","Jūs neesat izvēlējies primāro norēķina adresi."
"You have not set a default shipping address.","Jūs neesat izvēlējies primāro piegādes adresi."
"You have placed no orders yet.","Jūs vēl neesat veicis nevienu pasūtījumu."
"You have placed no products yet.","You have placed no products yet."
"You will be charged tax.","Jums tiks piemērots nodoklis."
"You will not be charged tax.","Jums netiks piemērots nodoklis."
"Your Tax ID cannot be validated.","Your Tax ID cannot be validated."
"Your VAT ID was successfully validated.","Your VAT ID was successfully validated."
"Your account balance is: %s","Your account balance is: %s"
"ZIP","Pasta indekss"
"ZIP/Post Code","Pasta indekss"
"Zip/Postal Code","Pasta indekss"
"n/a","n/a"
"or","vai"
"register","reģistrēties"
