"%s was added to your shopping cart.","%s tika pievienots pirkumu grozam."
"%s was updated in your shopping cart.","Pirkumu grozs tika atjaunināts."
"* Required Fields","* Obligāti aizpildāmie lauki"
"Multishipping Checkout Billing Address Edit Form","Labot norēķina adresi norēķinam ar piegādi uz vairākām adresēm"
"Multishipping Checkout Billing Address Selection","Izvēlēties norēķina adresi norēķinam ar piegādi uz vairākām adresēm"
"Multishipping Checkout Billing Information Step","Norēķina informācija norēķinam ar piegādi uz vairākām adresēm"
"Multishipping Checkout Customer Address Edit Form","Labot adresi norēķinam ar piegādi uz vairākām adresēm"
"Multishipping Checkout Overview","Pārskats norēķinam ar piegādi uz vairākām adresēm"
"Multishipping Checkout Shipping Address Creation","Izveidot piegādes adresi norēķinam ar piegādi uz vairākām adresēm"
"Multishipping Checkout Shipping Address Edit Form","Labot piegādes adresi norēķinam ar piegādi uz vairākām adresēm"
"Multishipping Checkout Shipping Address Selection","Izvēlēties piegādes adresi norēķinam ar piegādi uz vairākām adresēm"
"Multishipping Checkout Shipping Information Step","Piegādes informācija norēķinam ar piegādi uz vairākām adresēm"
"Multishipping Checkout Success","Norēķins ar piegādi uz vairākām adresēm noticis veiksmīgi"
"My Cart","Mans grozs"
"My Cart (%s item)","Mans grozs (%s prece)"
"My Cart (%s items)","Mans grozs (%s preces)"
"My Cart Extra Actions","My Cart Extra Actions"
"My Cart Link","My Cart Link"
"New Address","Jauna adrese"
"New Condition","New Condition"
"New Terms and Conditions","New Terms and Conditions"
"No Payment Methods","No Payment Methods"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","Kopējā pasūtījuma summa tiks norādīta, pirms veiksiet pasūtījumu"
"One Page Checkout","One Page Checkout"
"One Page Checkout Failure","One Page Checkout Failure"
"One Page Checkout Overview","One Page Checkout Overview"
"One Page Checkout Success","One Page Checkout Success"
"One item of products do not have identifier or sku","One item of products do not have identifier or sku"
"One item of products is not belong any of quote item","One item of products is not belong any of quote item"
"Order #","Pasūtījuma #"
"Order Review","Pasūtījuma pārskats"
"Order Success","Pasūtījums veikts veiksmīgi"
"Order place error.","Order place error."
"Other Items in Your Order","Citas jūsu pasūtījuma preces"
"Overview Items After","Overview Items After"
"Password","Parole"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","Apmaksas veids"
"Payment Method","Apmaksas veids"
"Payment Methods After Checkout Button","Payment Methods After Checkout Button"
"Payment Methods Before Checkout Button","Payment Methods Before Checkout Button"
"Payment method information","Apmaksas veids"
"Payment method is not defined","Nav norādīts apmaksas veids"
"Payment methods in shopping cart","Payment methods in shopping cart"
"Payment profile # %s: ""%s"".","Payment profile # %s: ""%s""."
"Place Order","Pirkt"
"Please agree to all Terms and Conditions before placing the order.","Pirms veicat pasūtījumu, lūdzu, iepazīstieties ar visiem nosacījumiem!"
"Please agree to all Terms and Conditions before placing the orders.","Pirms veicat pasūtījumu, lūdzu, iepazīstieties ar visiem nosacījumiem!"
"Please agree to all the terms and conditions before placing the order.","Pirms veicat pasūtījumu, lūdzu, iepazīstieties ar visiem nosacījumiem!"
"Please check billing address information.","Lūdzu, pārbaudiet norēķina adresi."
"Please check shipping address information.","Lūdzu, pārbaudiet piegādes adresi."
"Please check shipping addresses information.","Lūdzu, pārbaudiet piegādes adreses."
"Please choose to register or to checkout as a guest","Lūdzu, izvēlieties reģistrēties vai norēķināties nereģistrējoties"
"Please log in below:","Lūdzu, autorizējieties:"
"Please select region, state or province","Lūdzu, izvēlieties rajonu"
"Please select shipping address for applicable items","Lūdzu, izvēlieties piegādes adresi katrai precei"
"Please select shipping methods for all addresses","Lūdzu, izvēlieties piegādes veidu visām adresēm"
"Please select valid payment method.","Lūdzu, izvēlieties derīgu apmaksas veidu."
"Please specify payment method.","Lūdzu, izvēlieties apmaksas veidu."
"Please specify shipping method.","Lūdzu, izvēlieties piegādes veidu."
"Please specify shipping methods for all addresses.","Lūdzu, izvēlieties piegādes veidu visām adresēm"
"Price","Cena"
"Proceed to Checkout","Norēķināties"
"Product","Prece"
"Product Name","Preces nosaukums"
"Products","Preces"
"Qty","Daudzums"
"Qty:","Daudzums:"
"Quantity was recalculated from %d to %d","Tika pārrēķināts daudzums no %d uz %d"
"Quote Lifetime (days)","Quote Lifetime (days)"
"Quote item does not exist.","Quote item does not exist."
"Quote item is not found.","Quote item is not found."
"Recently added item(s)","Nesen pievienotās preces"
"Register","Reģistrēties"
"Register and save time!","Reģistrējieties un ietaupiet laiku!"
"Register to Create an Account","Reģistrējieties, lai izveidotu savu profilu"
"Register with us for future convenience:","Reģistrējieties mūsu lapā savai ērtībai:"
"Remove Item","Dzēst preci"
"Remove This Item","Dzēst šo preci"
"Remove coupon code from shopping cart","Dzēst atlaižu kuponu no pirkumu groza"
"Remove item","Dzēst preci"
"Remove product from shopping cart","Dzēst preci no pirkumu groza"
"Remove product(s) from shopping cart","Dzēst preci no pirkumu groza"
"Require Customer To Be Logged In To Checkout","Require Customer To Be Logged In To Checkout"
"Retrieve information about shopping cart","Retrieve information about shopping cart"
"Review Order","Pasūtījuma pārskats"
"Review Order - %s","Pasūtījuma pārskats - %s"
"Sales","Sales"
"Save Condition","Save Condition"
"Save in address book","Saglabāt adrešu sarakstā"
"See price before order confirmation.","See price before order confirmation."
"Select Address","Izvēlēties adresi"
"Select Addresses","Izvēlēties adreses"
"Select Shipping Method","Izvēlēties piegādes metodi"
"Select State/Province...","Izvēlēties rajonu..."
"Select a billing address from your address book or enter a new address.","Izvēlēties norēķina adresi no adrešu saraksta vai pievienot jaunu"
"Select a shipping address from your address book or enter a new address.","Izvēlēties piegādes adresi no adrešu saraksta vai pievienot jaunu."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send To","Sūtīt uz"
"Separate by "","".","Atdalīt ar "",""."
"Set customer for shopping cart","Set customer for shopping cart"
"Set customer's addresses in shopping cart","Set customer's addresses in shopping cart"
"Set payment method","Set payment method"
"Set shipping method","Set shipping method"
"Ship to Multiple Addresses","Piegādāt uz dažādām adresēm"
"Ship to different address","Piegādāt uz citu adresi"
"Ship to this address","Piegādāt uz šo adresi"
"Shipping Address","Piegādes adrese"
"Shipping Information","Piegādes informācija"
"Shipping Method","Piegādes veids"
"Shipping Methods","Piegādes veidi"
"Shipping To","Piegādes adrese"
"Shipping information","Piegādes informācija"
"Shipping method has not been selected yet","Piegādes veids vēl nav izvēlēts "
"Shipping methods in shopping cart","Shipping methods in shopping cart"
"Shipping selection is not applicable.","Shipping selection is not applicable."
"Shopping Cart","Pirkumu grozs"
"Shopping Cart Form Before","Shopping Cart Form Before"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Shopping Cart Sidebar Extra Actions","Shopping Cart Sidebar Extra Actions"
"Shopping Cart is Empty","Pirkumu grozs ir tukšs"
"Shopping cart ability to set coupon code","Shopping cart ability to set coupon code"
"Show Content as","Show Content as"
"Some of the requested products are not available in the desired quantity.","Daži no izvēlētajiem produktiem nav pieejami prasītajos daudzumos."
"Some of the requested products are unavailable.","Daži no izvēlētajiem produktiem nav pieejami."
"Some products quantities were recalculated because of quantity increment mismatch","Some products quantities were recalculated because of quantity increment mismatch"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Atvainojiet, norēķināšanās nereģistrējoties nav atļauta. Lūdzu, mēģiniet vēlreiz vai sazinieties ar mums."
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"State/Province","Rajons"
"Status","Statuss"
"Store View","Store View"
"Street Address","Adrese"
"Street Address %s","Adrese %s"
"Submitting order information...","Uzgaidiet..."
"Subtotal","Summa"
"Subtotal must exceed minimum order amount","Summai jāpārsniedz minimālais atļautais pasūtījumu daudzums"
"Telephone","Tālrunis"
"Terms and Conditions","Lietošanas noteikumi"
"Terms and Conditions Information","Lietošanas noteikumi"
"Terms and conditions","Lietošanas noteikumi"
"Text","Teksts"
"Thank you for your purchase!","Paldies par pirkumu!"
"The condition has been deleted","The condition has been deleted"
"The condition has been saved.","The condition has been saved."
"The onepage checkout is disabled.","The onepage checkout is disabled."
"The product could not be found.","The product could not be found."
"The product does not exist.","The product does not exist."
"There are <a href=""%s"">%s items</a> in your cart.","Jūsu grozā ir <a href=""%s"">%s preces</a>."
"There is <a href=""%s"">1 item</a> in your cart.","Jūsu grozā ir <a href=""%s"">1 prece</a>."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Šī epasta adrese jau ir reģistrēta. Lūdzu, autorizējieties vai ievadiet citu epasta adresi, lai reģistrētos."
"There was an error processing your order. Please contact us or try again later.","Apstrādājot jūsu pasūtījumu, notika kļūda. Lūdzu, sazinieties ar mums vai mēģiniet pēc brīža vēlreiz."
"This condition no longer exists.","This condition no longer exists."
"Total","Kopā"
"Total for this address","Summa kopā uz šo piegādes adresi"
"Unable to set Payment Method.","Unable to set Payment Method."
"Unit Price","Vienības cena"
"Update Cart","Atjaunot informāciju"
"Update Qty &amp; Addresses","Atjaunot informāciju"
"Update Shopping Cart","Atjaunot informāciju"
"Update Total","Pārrēķināt kopsummu"
"Update product quantities in shopping cart","Atjaunināt preču skaitu pirkumu grozā"
"Update product(s) quantities in shopping cart","Atjaunināt preču skaitu pirkumu grozā"
"Use Billing Address","Izmantot norēķina adresi"
"VAT Number","PVN maksātāja numurs"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Jūsu pasūtījums tiek apstrādāts, un jūs drīz saņemsiet epastu ar visu pasūtījuma informāciju. Tiklīdz pasūtījums tiks izsūtīts, jums tiks nosūtīts epasts ar saiti, lai sekotu tā statusam."
"What's this?","Kas tas ir?"
"You have no items in your shopping cart.","Jūsu grozā nav preču."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Jūs saņemsiet apstiprinājuma epastu ar pasūtījuma informāciju un saiti, lai sekotu tā statusam."
"Your Checkout Progress","Norēķināšanās"
"Your billing agreement # is: %s.","Your billing agreement # is: %s."
"Your order # is: %s.","Jūsu pasūtījuma # ir: %s."
"Your order cannot be completed at this time as there is no payment methods available for it.","Jūsu pasūtījumu šobrīd nevar pabeigt, jo nav pieejamu apmaksas veidu."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Jūsu pasūtījumu šobrīd nevar pabeigt, jo nav pieejamu piegādes veidu. Lūdzu, veiciet nepieciešamās izmaiņas piegādes adresē."
"Your order has been received.","Jūsu pasūtījums ir saņemts."
"Your order number is ","Jūsu pasūtījuma numurs ir "
"Your recurring payment profiles:","Your recurring payment profiles:"
"Zip/Postal Code","Pasta indekss"
